,Hand
4764,"['5♥', '4♥', '10♦', '6♠', '4♦']"
4765,"['A♥', 'A♦', '5♣', '7♣', 'K♦']"
4766,"['8♣', '7♥', '2♥', '2♦', 'Q♥']"
4767,"['K♣', 'J♣', '4♣', 'A♣', 'J♥']"
4768,"['3♦', '3♣', 'K♣', '4♣', '5♠']"
4769,"['4♥', '10♥', '5♦', '6♥', '4♠']"
4770,"['9♦', 'K♦', '8♥', '3♥', '10♦']"
4771,"['4♦', 'A♣', '2♣', '5♦', '7♦']"
4772,"['8♥', 'K♦', '2♠', '2♣', '2♥']"
4773,"['3♠', '10♦', '5♦', '7♠', 'J♦']"
4774,"['A♦', '6♦', '4♣', 'Q♣', '5♠']"
4775,"['7♣', '2♣', '3♠', '8♥', '4♦']"
4776,"['6♦', '4♠', '2♦', '4♦', '10♣']"
4777,"['A♥', '3♠', '4♥', 'K♥', 'K♣']"
4778,"['5♥', '8♠', '6♠', '6♦', 'K♥']"
4779,"['9♥', 'Q♥', '2♣', '10♣', '5♦']"
4780,"['A♣', 'Q♥', '9♠', '8♦', 'J♦']"
4781,"['J♣', '10♥', 'K♥', '3♥', '6♠']"
4782,"['4♦', '10♣', 'J♥', '2♥', '2♦']"
4783,"['K♥', '10♥', '6♠', '6♣', '5♣']"
4784,"['4♥', 'A♥', '10♠', '4♦', 'Q♦']"
4785,"['3♣', '9♣', 'Q♥', '6♠', '6♣']"
4786,"['2♠', '7♣', '6♥', 'J♦', 'K♦']"
4787,"['6♦', '2♥', '4♣', '4♥', '9♦']"
4788,"['10♠', 'J♣', '5♦', '4♦', '2♥']"
4789,"['5♦', '4♦', '6♥', 'A♥', '3♥']"
4790,"['6♣', '5♦', '9♥', 'K♠', '2♦']"
4791,"['9♥', '9♦', '3♣', '2♣', '3♦']"
4792,"['J♣', '9♣', '2♣', '3♠', 'K♦']"
4793,"['2♥', '6♠', 'K♣', '4♣', '9♥']"
4794,"['Q♦', '2♣', 'K♠', '7♥', '4♦']"
4795,"['5♦', '5♣', 'A♣', 'K♥', 'Q♦']"
4796,"['2♥', '9♦', '8♠', '3♣', '2♠']"
4797,"['K♥', 'Q♦', '2♣', '7♥', '10♦']"
4798,"['9♦', 'Q♠', 'Q♦', 'K♦', '10♥']"
4799,"['8♥', 'J♥', '3♣', 'A♥', '9♣']"
4800,"['3♠', '10♦', '8♠', 'A♣', '7♠']"
4801,"['10♦', '4♥', 'A♣', 'A♦', '6♦']"
4802,"['J♠', '10♦', 'Q♦', '10♣', '3♠']"
4803,"['A♣', 'K♠', '2♥', '9♥', '2♦']"
4804,"['2♣', '7♥', '3♣', '5♦', '5♥']"
4805,"['4♣', '3♠', '8♥', 'J♥', '10♣']"
4806,"['Q♥', 'A♣', '3♦', '7♥', '5♦']"
4807,"['Q♣', '8♣', '4♦', 'J♠', '3♦']"
4808,"['7♣', '4♠', '8♣', 'J♦', '10♥']"
4809,"['9♥', '8♠', 'Q♦', 'K♠', '9♠']"
4810,"['3♠', 'K♦', '2♥', '8♥', '8♦']"
4811,"['J♠', '9♠', '7♥', 'A♦', '7♠']"
4812,"['6♠', '9♠', 'J♦', '4♥', 'J♥']"
4813,"['10♣', '2♦', '6♣', '3♥', '3♦']"
4814,"['8♠', '4♥', 'Q♦', 'A♦', '10♥']"
4815,"['4♥', 'A♥', 'Q♦', '9♦', '10♠']"
4816,"['7♣', '8♠', '9♥', '6♣', 'J♣']"
4817,"['Q♠', '8♣', '5♣', '4♣', 'Q♣']"
4818,"['6♥', '5♥', '10♠', 'A♥', 'A♣']"
4819,"['5♦', '8♥', '10♠', '3♦', '4♣']"
4820,"['Q♠', '5♥', 'A♦', '10♣', '2♥']"
4821,"['9♥', '7♠', '6♥', '8♦', '7♦']"
4822,"['J♣', 'J♠', '4♦', '5♣', 'K♣']"
4823,"['7♣', '7♠', 'Q♦', '2♣', '4♦']"
4824,"['3♦', '5♦', '10♠', '9♣', 'K♥']"
4825,"['K♠', 'K♥', '3♦', '3♠', '5♥']"
4826,"['7♥', 'J♠', '7♣', '6♠', '9♣']"
4827,"['5♦', 'A♥', '9♣', 'K♦', '2♥']"
4828,"['10♦', 'Q♥', '3♣', '9♥', '6♥']"
4829,"['K♣', 'K♦', '9♠', '7♠', 'Q♣']"
4830,"['K♠', 'A♣', 'J♣', '8♦', 'K♦']"
4831,"['7♦', '10♥', 'Q♠', 'J♦', '7♠']"
4832,"['Q♣', 'Q♠', 'J♥', '6♦', '9♣']"
4833,"['6♠', 'J♠', 'K♠', 'A♣', '6♥']"
4834,"['6♦', 'A♣', '9♣', 'K♠', '10♥']"
4835,"['5♣', '4♣', '9♠', '8♥', '4♥']"
4836,"['7♣', '10♣', 'A♣', 'J♦', '9♦']"
4837,"['3♥', '9♥', 'J♥', '5♦', '8♦']"
4838,"['8♣', '8♦', '3♦', '4♣', 'J♥']"
4839,"['4♥', 'Q♦', '9♦', '7♣', '10♥']"
4840,"['9♦', '6♠', 'Q♥', '5♦', 'K♠']"
4841,"['J♣', '7♣', '6♣', '2♥', '10♠']"
4842,"['3♥', '10♠', '9♥', '9♠', 'K♣']"
4843,"['10♦', '9♥', '6♠', '2♥', '8♣']"
4844,"['9♥', 'K♠', '8♣', 'Q♠', '2♠']"
4845,"['3♥', '4♣', '6♥', '7♦', '2♦']"
4846,"['7♣', '6♣', '5♣', 'K♥', '3♣']"
4847,"['5♣', '5♥', 'J♥', '8♠', '9♥']"
4848,"['9♠', '3♦', '2♠', 'Q♠', 'A♣']"
4849,"['8♦', '10♣', '10♠', 'A♥', '9♠']"
4850,"['6♦', '5♥', '3♣', '2♥', '8♦']"
4851,"['10♠', '7♣', 'J♦', '3♦', '9♠']"
4852,"['2♦', 'Q♦', 'Q♣', 'K♣', 'J♣']"
4853,"['5♦', 'J♥', '7♠', 'A♣', 'A♦']"
4854,"['4♥', '9♣', '7♥', '7♣', '5♦']"
4855,"['K♥', 'J♦', '6♠', 'Q♦', '8♦']"
4856,"['9♠', '7♥', '2♦', '3♥', 'K♥']"
4857,"['7♣', '8♦', '2♠', '10♦', '4♥']"
4858,"['10♦', '10♣', '6♣', '10♠', 'A♣']"
4859,"['4♦', '2♦', '2♣', '9♣', '3♦']"
4860,"['3♠', '10♥', '4♠', 'K♠', '5♠']"
4861,"['9♠', 'A♥', '9♣', '5♣', '5♠']"
4862,"['K♠', 'J♦', '9♣', 'Q♠', '9♥']"
4863,"['J♠', '10♥', 'J♦', 'K♥', '3♦']"
4864,"['10♠', '2♠', '9♠', '7♣', '10♦']"
4865,"['J♠', '6♥', '5♦', '2♦', '8♥']"
4866,"['8♥', 'J♠', '2♦', '6♥', '4♣']"
4867,"['9♥', '8♠', '7♣', 'K♣', 'Q♦']"
4868,"['Q♥', 'A♥', 'Q♠', 'J♣', 'K♥']"
4869,"['A♥', 'K♥', '10♣', '3♥', 'J♣']"
4870,"['6♠', 'A♥', '2♦', '5♠', '9♦']"
4871,"['2♠', 'A♦', '9♦', '9♠', '6♥']"
4872,"['8♦', 'Q♥', '2♣', '5♦', 'K♦']"
4873,"['K♥', '4♥', '5♦', '2♠', 'A♦']"
4874,"['5♦', '10♣', '3♠', '9♠', '10♦']"
4875,"['Q♣', '5♦', 'K♠', '6♠', '4♣']"
4876,"['2♣', '9♣', '6♠', '9♠', '8♥']"
4877,"['2♦', '3♥', '2♠', '10♥', '4♠']"
4878,"['Q♥', '4♦', '9♣', '8♣', 'J♥']"
4879,"['K♠', 'A♣', '9♦', '5♥', '8♥']"
4880,"['5♠', '5♦', '2♠', 'K♦', 'K♥']"
4881,"['10♥', '6♦', '2♥', '3♣', 'A♣']"
4882,"['3♣', 'A♦', '5♥', '2♦', '5♣']"
4883,"['6♦', '6♥', 'Q♠', '9♥', '10♥']"
4884,"['3♦', '7♠', '5♣', '10♠', 'K♠']"
4885,"['K♠', '4♦', '7♠', '6♦', 'K♥']"
4886,"['7♥', '10♣', '3♦', 'K♥', '10♦']"
4887,"['7♠', '8♦', '6♦', '10♦', '2♥']"
4888,"['10♦', '3♠', 'A♥', 'K♦', '10♣']"
4889,"['10♥', 'J♠', '3♠', '5♣', '4♥']"
4890,"['7♣', '10♠', '8♥', '3♦', 'K♥']"
4891,"['4♣', '9♥', '8♦', 'A♣', 'Q♠']"
4892,"['2♥', 'A♦', '8♦', '8♣', '6♠']"
4893,"['Q♥', '6♣', '6♦', '3♥', '8♦']"
4894,"['3♣', '4♥', '2♠', '10♥', 'J♣']"
4895,"['8♣', '10♣', '8♦', 'J♥', 'Q♦']"
4896,"['Q♠', '5♠', '6♠', '5♥', '7♦']"
4897,"['A♣', '7♣', 'Q♠', '4♥', '2♣']"
4898,"['7♥', '3♠', '9♠', '4♦', 'J♠']"
4899,"['K♠', '5♥', '3♠', 'Q♣', 'A♣']"
4900,"['4♣', '2♥', 'J♠', 'K♠', 'Q♣']"
4901,"['Q♥', '7♠', '4♦', '2♠', 'A♥']"
4902,"['10♣', '8♦', '7♣', 'Q♣', '4♣']"
4903,"['J♦', '4♠', '10♣', '8♠', 'K♥']"
4904,"['7♦', 'A♥', 'K♠', '3♥', '6♦']"
4905,"['Q♦', 'A♦', '4♦', '2♣', '8♦']"
4906,"['A♦', 'K♥', '9♠', '6♥', '4♦']"
4907,"['3♥', '9♥', '2♣', 'J♣', '4♣']"
4908,"['5♥', '3♠', '8♠', 'A♣', '2♥']"
4909,"['9♣', '4♦', '6♦', '7♦', '3♥']"
4910,"['2♠', '2♦', '8♥', '8♦', 'A♦']"
4911,"['5♦', '3♠', '9♥', '10♠', 'J♦']"
4912,"['2♥', '3♠', '4♠', 'J♦', 'K♠']"
4913,"['3♠', '4♣', '9♦', '8♠', '2♠']"
4914,"['K♣', '10♦', '9♥', '7♣', '4♥']"
4915,"['10♦', '3♦', '7♣', '9♦', 'J♥']"
4916,"['A♥', 'Q♦', '10♥', '10♣', 'J♥']"
4917,"['J♥', '5♣', '7♠', 'Q♣', '10♥']"
4918,"['6♣', '2♠', '2♥', 'A♦', '4♣']"
4919,"['5♠', '5♥', 'A♣', 'A♦', '4♠']"
4920,"['A♦', '6♣', 'A♣', 'A♥', 'Q♦']"
4921,"['9♥', 'J♥', '7♣', 'Q♠', 'Q♣']"
4922,"['5♥', '8♠', 'J♣', '7♣', 'K♠']"
4923,"['10♣', '5♠', 'A♣', 'J♠', '4♣']"
4924,"['2♠', '7♣', '6♠', '5♠', 'J♥']"
4925,"['3♣', '5♥', 'J♠', '8♦', '6♣']"
4926,"['2♠', '6♠', '2♥', '3♣', '5♥']"
4927,"['Q♠', '8♦', '2♣', 'J♦', '3♥']"
4928,"['10♣', 'Q♦', 'K♣', '7♠', 'J♥']"
4929,"['8♥', 'K♣', '6♠', '7♦', 'K♠']"
4930,"['4♣', '4♥', 'A♦', '3♠', '7♣']"
4931,"['9♠', '8♦', '5♠', 'Q♥', '6♥']"
4932,"['7♣', 'Q♦', '7♦', '4♠', 'K♥']"
4933,"['7♦', '4♣', '7♣', 'A♣', '5♣']"
4934,"['3♣', '4♥', '7♠', 'A♣', '9♥']"
4935,"['6♥', '3♠', 'A♥', '4♣', 'Q♠']"
4936,"['5♦', 'K♣', 'K♥', '4♥', '4♠']"
4937,"['3♣', '8♣', '2♥', '4♦', '8♥']"
4938,"['10♦', 'Q♣', 'A♣', '4♠', '9♠']"
4939,"['A♣', '2♥', '10♥', '9♦', '8♣']"
4940,"['Q♣', '8♠', 'K♣', 'K♠', '4♣']"
4941,"['5♣', '9♥', '9♣', '6♣', 'K♦']"
4942,"['3♦', '9♠', 'Q♦', '4♣', '3♣']"
4943,"['8♥', '3♠', '4♦', '8♠', 'J♥']"
4944,"['Q♣', '6♠', '10♦', 'K♣', '6♥']"
4945,"['7♠', 'J♣', '4♦', '3♣', 'J♦']"
4946,"['4♥', 'Q♥', 'J♥', '4♦', '6♦']"
4947,"['6♠', '10♠', '5♠', '4♥', '7♠']"
4948,"['3♠', '4♠', 'Q♦', 'K♣', 'A♦']"
4949,"['K♥', 'K♦', '7♦', '3♥', '7♣']"
4950,"['10♦', '7♣', '6♥', 'A♥', '3♠']"
4951,"['9♠', '2♣', '10♠', 'Q♦', '9♣']"
4952,"['9♥', '7♦', '3♥', 'Q♣', '4♥']"
4953,"['3♠', '6♠', '8♥', '5♦', '10♣']"
4954,"['Q♥', 'Q♣', '4♥', '2♠', 'J♥']"
4955,"['Q♥', 'A♣', 'Q♦', '8♠', 'Q♣']"
4956,"['7♦', '5♠', 'J♣', '4♥', 'Q♣']"
4957,"['K♠', '5♥', '10♠', 'J♥', '3♠']"
4958,"['2♣', '7♣', '4♥', 'Q♠', '7♠']"
4959,"['9♣', '7♠', 'Q♥', '10♣', '5♣']"
4960,"['7♥', 'J♠', 'J♦', '7♣', 'Q♣']"
4961,"['2♠', '9♠', '8♣', '3♠', '6♦']"
4962,"['7♦', '6♣', '10♥', 'J♥', 'Q♠']"
4963,"['9♦', 'A♦', 'K♠', 'K♣', '6♣']"
4964,"['A♥', '7♦', '10♥', '5♠', 'J♣']"
4965,"['4♥', 'K♥', 'K♠', 'J♦', '6♠']"
4966,"['2♥', 'J♣', 'Q♥', '10♣', 'K♠']"
4967,"['Q♠', '2♦', 'A♥', '5♥', 'A♦']"
4968,"['Q♣', '8♠', '9♥', '10♣', 'J♦']"
4969,"['10♣', '10♥', '3♣', '5♥', 'A♣']"
4970,"['2♠', 'A♥', 'J♥', 'K♣', '4♣']"
4971,"['10♦', '10♥', 'J♥', '3♥', 'K♣']"
4972,"['Q♦', '6♦', 'J♦', '2♣', '7♦']"
4973,"['10♥', 'Q♥', '7♣', '10♣', '4♥']"
4974,"['7♣', 'K♦', 'Q♥', '5♦', '5♥']"
4975,"['J♣', '10♥', '7♠', 'K♣', '7♦']"
4976,"['K♥', '3♦', '9♠', '6♦', '3♠']"
4977,"['J♠', 'K♥', 'K♠', '5♦', '9♠']"
4978,"['8♥', 'A♦', '5♣', '9♠', '4♠']"
4979,"['K♠', '9♣', '10♦', '5♥', '5♣']"
4980,"['Q♥', '9♥', '2♣', '6♠', 'Q♣']"
4981,"['5♣', '5♦', '9♣', 'Q♣', '8♣']"
4982,"['7♥', 'Q♠', 'A♥', '2♥', '7♣']"
4983,"['3♦', '10♦', 'Q♥', 'J♣', '10♥']"
4984,"['6♠', '3♠', '7♥', 'K♥', '6♦']"
4985,"['10♦', '8♥', '8♣', '6♦', 'Q♦']"
4986,"['J♥', '10♣', 'A♦', 'A♥', 'Q♠']"
4987,"['7♠', 'Q♣', 'K♥', '6♦', 'K♦']"
4988,"['4♣', '4♦', 'J♣', '9♦', '8♦']"
4989,"['A♥', 'J♠', '4♥', '3♣', '5♥']"
4990,"['7♠', '4♦', '5♣', '10♥', '9♠']"
4991,"['7♣', 'Q♠', 'A♥', 'K♥', '4♠']"
4992,"['5♥', '7♣', '2♠', 'Q♣', '2♥']"
4993,"['J♠', 'Q♦', '9♥', 'Q♣', '3♦']"
4994,"['6♣', '4♠', '6♥', '10♠', '7♦']"
4995,"['5♠', 'A♥', 'A♣', '8♦', '2♠']"
4996,"['K♦', '7♣', '3♣', '8♠', '7♥']"
4997,"['4♠', 'K♦', '2♦', '9♥', '4♦']"
4998,"['4♥', '10♥', '7♣', '4♠', '7♥']"
4999,"['A♥', '4♠', 'K♣', '7♥', 'K♥']"
5000,"['10♠', '9♠', '5♦', '5♠', '3♥']"
5001,"['5♦', '8♥', '10♦', '9♥', '3♦']"
5002,"['7♥', 'Q♣', 'K♦', '4♥', '5♦']"
5003,"['2♦', '9♠', '8♦', 'A♥', 'A♣']"
5004,"['A♦', 'K♣', '2♠', '4♠', '7♠']"
5005,"['A♦', '6♥', '2♠', '5♣', 'Q♠']"
5006,"['K♦', '8♠', '8♦', '9♥', '10♥']"
5007,"['10♠', '3♣', 'K♥', '9♦', '4♠']"
5008,"['10♥', 'Q♣', 'K♠', '3♠', '9♦']"
5009,"['2♣', '5♠', 'Q♦', '7♦', '2♦']"
5010,"['8♥', '3♣', 'J♦', '10♦', '7♥']"
5011,"['A♣', '8♦', '2♦', '6♣', 'J♥']"
5012,"['8♠', '6♠', '10♥', '8♦', '2♥']"
5013,"['Q♦', '6♦', '8♦', '5♥', '9♠']"
5014,"['10♣', '3♦', '4♦', '4♠', '5♣']"
5015,"['10♣', '4♣', '9♠', '2♦', '8♦']"
5016,"['9♦', '10♣', 'Q♦', '7♦', '5♣']"
5017,"['K♥', '5♥', '4♣', 'Q♦', '8♥']"
5018,"['A♥', 'Q♦', '2♠', '3♠', '3♦']"
5019,"['K♥', 'Q♥', '4♦', '2♥', 'K♣']"
5020,"['8♦', '5♣', '3♣', 'K♠', '6♥']"
5021,"['8♥', '4♦', '8♦', '6♥', '5♥']"
5022,"['2♠', '7♥', '3♠', '9♦', '9♣']"
5023,"['2♥', '8♦', '7♥', '5♠', '8♣']"
5024,"['9♣', '10♥', '6♦', '6♠', '3♦']"
5025,"['4♣', 'A♥', '6♠', '2♣', '9♦']"
5026,"['7♠', '3♠', 'K♥', '10♦', '6♠']"
5027,"['4♥', 'Q♥', 'J♣', 'A♥', '10♠']"
5028,"['9♠', '6♦', '2♣', '10♥', 'K♣']"
5029,"['2♠', '5♥', '3♥', '6♣', 'K♣']"
5030,"['9♣', '7♦', '6♦', '8♦', '4♥']"
5031,"['9♥', '5♦', 'K♦', 'K♥', '8♦']"
5032,"['8♥', 'J♦', '4♠', '9♣', '10♥']"
5033,"['2♠', '10♥', '2♣', 'A♥', 'J♦']"
5034,"['4♥', 'J♠', '6♥', '5♣', '2♠']"
5035,"['Q♦', 'Q♠', '8♦', 'A♦', '2♣']"
5036,"['2♣', '5♠', '3♠', '2♠', 'K♣']"
5037,"['10♥', '9♦', '3♣', '4♦', 'J♣']"
5038,"['Q♣', '7♥', 'J♦', '10♣', '7♦']"
5039,"['2♥', '4♦', 'K♦', '6♦', '8♠']"
5040,"['A♥', '10♥', '4♣', '6♣', 'K♦']"
5041,"['10♥', 'Q♠', '7♥', '6♣', '4♥']"
5042,"['3♠', 'K♥', '3♣', '5♥', '10♥']"
5043,"['8♠', '5♣', '9♥', '2♣', '10♠']"
5044,"['J♠', 'K♦', '2♠', 'K♣', '10♦']"
5045,"['4♥', 'K♦', 'K♠', '5♦', '9♣']"
5046,"['5♠', 'J♠', '5♦', '9♣', '6♦']"
5047,"['J♦', '6♥', '10♣', '9♣', 'K♣']"
5048,"['6♦', 'K♥', 'J♣', '8♠', '8♣']"
5049,"['6♥', '4♥', 'Q♣', 'A♥', '7♣']"
5050,"['Q♦', 'Q♣', 'A♣', '7♥', '9♠']"
5051,"['Q♦', '10♣', '8♠', '3♦', '2♥']"
5052,"['3♣', '3♠', '3♥', 'K♣', 'Q♥']"
5053,"['9♣', '2♥', '9♦', '7♣', '5♣']"
5054,"['K♠', '7♣', '10♠', '10♦', 'K♥']"
5055,"['K♥', '9♠', '3♣', '5♣', '4♦']"
5056,"['4♣', '6♠', '4♠', '10♠', '7♥']"
5057,"['4♣', 'A♣', 'J♦', '6♥', '4♦']"
5058,"['Q♣', '7♦', '6♠', 'A♥', '8♠']"
5059,"['J♠', '5♥', '8♠', '8♦', 'K♥']"
5060,"['J♦', 'J♠', '3♠', '4♥', 'Q♣']"
5061,"['J♠', '8♣', 'A♥', 'Q♥', '2♠']"
5062,"['J♠', '8♦', '9♦', '3♣', 'J♦']"
5063,"['K♦', '4♠', 'K♠', '3♠', 'J♠']"
5064,"['7♥', '10♦', '2♠', 'Q♦', '8♠']"
5065,"['7♣', 'Q♦', '4♠', '9♠', '10♦']"
5066,"['9♠', 'K♠', '2♥', '4♠', '3♠']"
5067,"['6♣', '9♠', 'K♠', '2♦', 'Q♠']"
5068,"['3♥', '2♠', '5♥', 'Q♠', 'A♦']"
5069,"['5♦', 'A♣', '3♣', '7♦', '7♠']"
5070,"['9♣', '2♠', 'J♦', 'J♠', '9♥']"
5071,"['K♥', '7♠', '9♠', 'J♠', '9♣']"
5072,"['J♣', '7♥', 'Q♠', '2♥', '7♦']"
5073,"['5♣', '9♣', 'J♥', '8♥', 'K♦']"
5074,"['7♥', 'K♣', '4♥', '8♠', '10♠']"
5075,"['Q♠', '6♠', 'J♠', 'Q♣', 'K♣']"
5076,"['A♦', 'K♠', '4♠', '4♥', '6♣']"
5077,"['6♦', '5♠', 'Q♦', 'Q♠', '7♣']"
5078,"['6♣', '3♦', '5♣', 'A♥', '6♥']"
5079,"['3♦', 'K♠', '9♥', '3♥', '7♣']"
5080,"['5♠', '9♣', '6♥', 'K♥', '10♥']"
5081,"['J♥', 'K♥', '3♦', 'K♣', '10♣']"
5082,"['2♣', '7♥', '10♥', '3♠', '8♥']"
5083,"['2♠', 'J♠', '5♥', 'K♥', '4♠']"
5084,"['9♠', '2♣', '5♣', '10♥', '10♦']"
5085,"['J♣', '10♣', 'K♦', '4♥', '6♦']"
5086,"['K♠', 'A♣', 'Q♦', '6♥', '8♥']"
5087,"['9♦', '10♦', 'Q♥', '6♥', 'Q♦']"
5088,"['6♠', '3♥', '5♠', '2♥', '10♠']"
5089,"['10♣', '3♦', 'Q♦', '9♠', '10♥']"
5090,"['6♠', '9♠', '4♦', '4♣', 'Q♥']"
5091,"['5♥', '4♣', '4♥', 'J♠', '3♣']"
5092,"['5♠', 'Q♠', 'K♥', '3♣', 'J♥']"
5093,"['Q♦', 'K♣', '6♦', '9♣', '7♣']"
5094,"['3♠', '5♦', 'K♦', '3♦', 'K♥']"
5095,"['K♠', '4♥', '2♣', '5♦', '7♠']"
5096,"['8♣', '8♠', '5♥', '6♣', '2♠']"
5097,"['7♠', '6♦', '10♦', '2♦', '9♦']"
5098,"['A♦', '4♠', '9♦', 'K♣', '8♣']"
5099,"['4♥', '7♥', '8♦', '3♠', '9♥']"
5100,"['2♠', '5♣', '6♥', 'Q♣', '8♣']"
5101,"['10♥', '3♠', '2♠', '4♣', '5♥']"
5102,"['K♣', '6♠', 'A♣', '2♥', 'Q♣']"
5103,"['10♦', '10♣', '9♠', 'J♣', 'J♠']"
5104,"['7♥', 'J♥', 'Q♥', '5♥', 'K♣']"
5105,"['3♠', 'J♠', '6♥', 'A♦', '2♦']"
5106,"['3♥', '6♣', '7♦', '2♦', '9♦']"
5107,"['3♦', 'Q♣', 'A♦', '5♠', '10♥']"
5108,"['A♥', '9♥', 'K♦', '5♦', 'A♣']"
5109,"['K♠', '7♥', 'Q♠', 'J♣', 'K♦']"
5110,"['6♦', 'J♣', '8♣', '4♠', '5♣']"
5111,"['10♠', '5♦', 'A♣', '6♣', 'K♠']"
5112,"['Q♠', '10♥', '5♠', '2♠', 'K♦']"
5113,"['2♥', '5♦', '3♣', '7♣', '10♦']"
5114,"['Q♦', '8♣', '7♠', '3♠', '4♦']"
5115,"['3♣', '5♥', 'K♣', '9♥', 'K♠']"
5116,"['10♦', '3♣', '7♠', '6♦', 'Q♥']"
5117,"['Q♠', '9♣', '4♣', 'K♥', '6♥']"
5118,"['K♦', '3♠', '10♥', '10♦', '8♠']"
5119,"['8♥', '7♠', 'J♦', '9♥', '5♦']"
5120,"['A♣', '10♦', 'Q♣', '6♥', '2♦']"
5121,"['3♥', '10♥', '8♠', '2♣', 'K♦']"
5122,"['6♦', 'J♦', '2♥', '5♥', 'K♣']"
5123,"['2♥', '10♠', '7♦', 'Q♥', 'J♦']"
5124,"['9♦', 'J♥', '9♥', '3♠', 'J♦']"
5125,"['2♥', '5♥', '5♦', '10♦', '7♦']"
5126,"['Q♥', 'A♣', '6♣', '5♥', 'Q♠']"
5127,"['K♠', 'J♠', '5♠', '3♠', '3♣']"
5128,"['3♠', '3♦', '6♣', '8♦', 'K♥']"
5129,"['7♦', '9♣', '3♠', 'Q♥', '9♦']"
5130,"['6♥', '7♣', 'K♠', 'J♦', '5♦']"
5131,"['A♦', 'Q♠', 'J♠', '7♦', '8♦']"
5132,"['K♦', '7♠', 'K♣', '7♣', 'J♣']"
5133,"['10♦', 'Q♠', '3♦', '9♣', '6♠']"
5134,"['K♦', 'K♣', '10♦', '9♣', '3♦']"
5135,"['3♦', '7♠', '7♦', '10♦', '4♣']"
5136,"['Q♦', '4♥', 'J♦', '4♠', '9♦']"
5137,"['Q♠', 'Q♥', '3♠', '9♣', '4♣']"
5138,"['4♦', 'J♣', '9♦', '3♥', '6♣']"
5139,"['4♠', 'J♠', 'Q♣', 'J♣', 'A♣']"
5140,"['J♣', '6♠', '3♦', '6♥', '6♣']"
5141,"['10♣', 'K♣', '6♠', '2♠', '5♥']"
5142,"['8♣', 'K♦', 'Q♠', '4♦', '2♣']"
5143,"['7♦', '9♥', '5♠', '5♣', '3♦']"
5144,"['10♥', '2♦', '10♠', '6♠', '10♣']"
5145,"['10♦', '5♥', 'Q♦', '6♠', 'K♦']"
5146,"['3♥', '2♣', 'J♦', '5♣', '10♥']"
5147,"['A♦', '2♣', '6♥', '9♥', 'J♣']"
5148,"['7♥', '9♦', '10♥', '7♠', '3♦']"
5149,"['4♣', '4♦', '2♦', '9♦', 'Q♦']"
5150,"['2♥', '5♠', '7♣', '5♦', 'Q♣']"
5151,"['3♠', '5♠', 'Q♥', 'A♥', '7♦']"
5152,"['7♦', '7♣', '6♥', '6♦', '9♠']"
5153,"['Q♣', '3♣', '9♣', '8♣', '7♣']"
5154,"['10♠', '5♣', 'K♥', 'K♣', 'J♠']"
5155,"['A♦', '2♥', '6♠', '3♠', 'K♠']"
5156,"['4♠', '9♦', '3♥', '6♠', '9♣']"
5157,"['3♦', '7♥', '4♠', '6♣', '8♦']"
5158,"['Q♣', '6♦', '5♥', '8♥', 'Q♥']"
5159,"['8♠', '6♥', '10♠', '9♠', '2♣']"
5160,"['10♠', '2♥', '2♣', '10♦', 'J♣']"
5161,"['2♣', '10♣', '4♥', '6♥', '2♦']"
5162,"['8♠', '8♣', '4♥', 'Q♦', 'J♣']"
5163,"['9♣', '10♦', '3♣', 'A♣', '2♣']"
5164,"['6♦', '10♥', '7♠', 'A♦', '5♣']"
5165,"['8♠', '7♦', '2♥', 'J♥', '3♦']"
5166,"['8♣', '3♣', 'J♣', '7♠', '5♣']"
5167,"['J♣', 'A♣', '4♦', '3♠', 'J♦']"
5168,"['4♦', '10♣', '3♣', '8♠', '8♥']"
5169,"['4♠', '10♠', '3♥', '9♥', '2♣']"
5170,"['J♠', '10♦', '7♥', 'Q♦', '9♠']"
5171,"['8♦', '4♥', '9♦', 'J♥', 'A♦']"
5172,"['K♠', '7♥', '2♠', 'K♥', '4♥']"
5173,"['2♥', '7♥', '3♦', '10♠', 'A♣']"
5174,"['K♠', '5♦', '2♠', '4♥', '7♠']"
5175,"['5♦', '9♣', 'K♠', 'Q♦', 'K♣']"
5176,"['K♥', '5♦', 'K♦', 'Q♣', '10♦']"
5177,"['K♣', '3♠', '3♥', 'K♦', '7♠']"
5178,"['4♣', '3♣', '9♥', 'K♥', '4♦']"
5179,"['J♦', '5♥', 'J♣', '6♠', '7♦']"
5180,"['10♦', '4♠', '7♦', 'J♥', '9♣']"
5181,"['8♦', '10♣', '7♠', '6♦', 'A♥']"
5182,"['K♠', '8♠', '5♣', '7♠', 'J♦']"
5183,"['9♥', 'K♣', '6♣', 'A♣', '4♦']"
5184,"['K♦', '3♦', '6♣', '10♣', '3♥']"
5185,"['4♣', '5♥', 'Q♥', '5♦', 'A♣']"
5186,"['J♦', '7♥', 'K♦', '10♥', '2♥']"
5187,"['8♥', 'A♦', '9♦', 'Q♥', '10♠']"
5188,"['6♥', '8♦', '4♣', '2♥', '10♠']"
5189,"['5♦', '4♥', '10♣', 'A♥', '10♥']"
5190,"['K♥', '7♥', '6♦', '6♣', '3♣']"
5191,"['9♣', 'J♠', 'A♦', 'Q♠', '2♦']"
5192,"['4♠', '4♣', '8♥', 'A♣', '7♦']"
